EN_WORD,WORD,DEFINITION
adamite,Одна,"один из секта визионеров, который, проповедуя имитировать состояние Адама, отказался от использования одежды в своих собраниях."
adam's apple,Яблочное,Смотреть под Адамом.
adance,Танцуем.,танцы.
adangle,Адапель,«дангла».
adansonia,Род,"жанр больших деревьев, связанных с Бомбаксом. Есть два вида, А. цифтата, баобаб или обезьянное хлеб Африки и Индии, и А. Грегори, суровое гордо или крема-от-татарное дерево Австралии. Оба имеют трон умеренной высоты, но огромного диаметра, и широкораспространенную голову. Плоды облонны и наполняются приятным кислотным пульпом."
adapt,Адаптация:,приспособленный; приспособленный.
adapted,Скорректированная,от Adapt
adapting,Адаптация,от Adapt
adapt,адаптировать,"для того, чтобы сделать подходящим; для того, чтобы подходить или подходить; для того, чтобы приспособиться; для того, чтобы изменить, чтобы подходить для нового использования; — иногда последует для или для."
adaptability,Приспособляемость,Alt. of Adaptableness
adaptableness,Приспособляемость:,Качество адаптируемости; приспособимость.
adaptable,Приспособляемость,способность быть адаптированным.
adaptation,-,акт или процесс адаптации или приспособления; или состояние адаптации или приспособления; фитнес.
adaptation,Результат,результат адаптации; адаптированная форма.
adaptative,Адаптивное,адаптивный.
adaptedness,-,состояние или качество адаптации; приспособление; специальная фитнес.
adapter,адаптационное,"человек, который адаптируется."
adapter,адаптационную,соединительная труба; усыновщик.
adaption,Адаптация:,адаптация.
adaptive,Адаптивная,"подходит, дается или склоняется к адаптации; характеризуется адаптацией; способен адаптировать."
adaptiveness,-,качество адаптивности; способность адаптироваться.
adaptly,адаптируемый,в соответствующем виде.
adaptness,адаптивность,адаптивность.
adaptorial,Адаптивная.,адаптивный.
adar,Двенадцатый,Двенадцатый месяц еврейского церковного года и шестой месяц гражданского.
adarce,Адарс,"соленая конкреция на глине и траве в маршиных почвах в Галатии. она мягкая и порочная, и ранее использовалась для очистки кожи от трещин и татер, а также в лепрозии."
adatis,Адатис,Красивая памучная одежда Индии.
adaunt,Приветствую,для даунта; для подавления; для смягчения.
adaw,"Одежда,",подводить; подводить.
adaw,"Проснуться,",пробудить; пробудить.
adays,Днем,"по дню, или каждый день; в дневное время."
ad captandum,Ad,"фраза, используемая адекватно иногда заслуженными попытками захватить или выиграть популярную пользу."
added,добавлено,от Добавить
adding,добавление,Add
add,*,давать путем увеличения собственности (для любого); давать (на).
add,Добавить:,"объединить или объединить, как одно вещь к другому, или как несколько частей, таким образом, чтобы увеличить число, увеличить количество, увеличить величину, или таким образом, чтобы сформировать в один агрегат."
add,Добавить,"Добавить, как заявление; сказать далее."
add,Добавьте,"для того, чтобы добавить; для того, чтобы увеличить; для того, чтобы увеличить; как, это добавляет к нашему тревогу."
add,Добавьте,"для выполнения аритметической работы добавления; как, он быстро добавляет."
addable,Свободный,Додается.
addax,Один,"один из крупнейших африканских антелопов (Хиппотрагус, / Орикс, носомакулат)."
addeem,Добавить,давать; давать.
addenda,добавления,от Addendum
addendum,Добавление,"вещь, которая должна быть добавлена; дополнение или дополнение."
adder,Кто,"человек, который, или тот, который добавляет; esp., машина для добавления цифр."
adder,Змея.,Змея.
adder,Небольшая,Маленькая венозная змея рода Випера. Общий европейский аддер — випера (/пелий) берус.
adder,В,"в Америке термин обычно применяется к нескольким безобидным змеям, таким как молочный аддер, пуфинг аддер и т.д."
adder,То,"Точно так же, как и Sea Adder."
adder fly/,::,Dragon fly.
adder's-tongue,Род,"жанр грызунов (Ophioglossum), семена которых вырабатываются на спике, напоминающей язык змеи."
adder's-tongue,"""Желтый",Желтый виолетовый зуб.
adderwort,adverwort,Общий бисторт или снайпер (Polygonum bistorta).
addibility,-,количество быть добавленным; способность добавлять.
addible,-,способность быть добавленным.
addice,См.,Смотреть Adze.
addict,Зависит,Зависимый; посвященный.
addicted,Зависимость,от «зависимого»
addicting,Зависимость,от «зависимости»
addict,Применить,применять привычно; посвящать; привыкать; — с тем.
addict,"Приспособиться,",адаптироваться; подходить; подходить.
addictedness,Зависимость:,Качество или состояние зависимости; привязанность.
addiction,-,состояние зависимости; отверстие; наклонение.
addison's disease,Болезнь,"болезненное состояние, вызывающее особый коричневый деколор кожи, и думал, в одно время, быть вызвано болезнью надпочечных капсул (две плоские трояндные тела, покрывающие верхнюю часть почек), но теперь известно, что не зависят от этих причин исключительно."
additament,"Добавление,",Добавка или добавленная вещь.
addition,accolloding,акт добавления двух или более вещей вместе; - в отличие от суптракции или уменьшения.
addition,Добавьте,"Все добавленное; увеличение; увеличение; как, площадка является дополнением к зданию."
addition,Добавляю,"эта часть аритмии, которая относится к добавлению чисел."
addition,*,"точка на правой стороне записки как указание на то, что его звук должен быть удлинен наполовину."
addition,Добавляю,"Заголовок, приложенный к имени человека, чтобы идентифицировать его более точно; как, Джон Дой, Эск; Ричард Рое, Гент; Роберт Дейл, Масон; Томас Уэ, Нью-Йорк; знак отличия; Заголовок."
addition,что-то,"что-то добавлено к одежде оружия, как знак чести; — в отличие от уничтожения."
additional,-,Добавлено; Дополнительное; в виде добавления.
additional,-,что-то добавлено.
additionally,Кроме,путем добавления.
additionary,Дополнительные.,Дополнительное.
addititious,Аппендитивный.,Добавки.
additive,Прибавка,лучше добавлять; положительное; - в отличие от субтрактивного.
additory,Добавить,склонность добавлять; делать некоторое добавление.
addle,средь,Ликвидный филт; mire.
addle,Садись,Lees; dregs.
addle,Утратив,"потеряв силу развития, и стать крутым, как яйца; путрид."
addled,добавленное,от Addle
addling,Средняя,от Addle
addle,"Скатываясь,","для того, чтобы сделать адл; для того, чтобы расти адл; для того, чтобы мудл; так, он придумал свой мозг."
addle,Зарабатывать,заработать по труду.
addle,"Скальпель,",процветать или расти; рипеть.
addle-brain,Alt.,Alt. of Addle-pate
addle-head,Полуголовый,Alt. of Addle-pate
addle-pate,А,глупый или глупый собеседник.
addle-brained,Средние,Alt. of Addle-pated
addle-headed,Полуглубленное,Alt. of Addle-pated
addle-pated,-,глупый; глупый.
addle-patedness,Глупость.,глупость.
addlings,Заработная,прибыль.
addoom,Добавить,для назначения.
addorsed,Включено,установите или переверните обратно.
addressed,адрес,от адреса
addressing,адрес,от адреса
address,-,для цели; для направления.
address,-,Подготовить или приготовить.
address,-,Рефлексивно: Подготовить себя; применить свои навыки или энергии (на какой-то объект); применить.
address,Адрес:,для одежды или оформления; для одежды.
address,"Направлять,","направлять, как слова (в какую-либо или какую-либо вещь); делать, как выступление, петицию и т. д. (в какую-либо аудиторию)."
address,-,"направлять речь к; делать сообщение к, говорится или пишется; применять к словам, как через речь, петицию и т. д., говорить к; приступить."
address,-,"направлять в письменном виде, как письмо; переписать, или направлять и передавать; как, он адресовал письмо."
address,Позвонить,"Для того, чтобы пригодиться как любовнику; для суда; для воо."
address,-,"для сдачи или вступления в заботу о другом, в качестве агента или фактора; как, корабль был адресован торговцу в Балтиморе."
address,Адрес:,Подготовить себя.
address,Адрес:,чтобы направлять речь.
address,-,акт подготовки самого себя.
address,Закон,акт обращения себя к человеку; вербальное применение.
address,Официальное,"формальное сообщение, либо письменное, либо произнесенное; дискурс; речь; формальное обращение к любому; петиция; формальное заявление по какой-либо теме или специальному случаю; как, адрес благодарности, адрес для избирателей."
address,-,"направление или перепись письма, или имя, название и место жительства адресованного лица."
address,-,"путь разговора с другим; доставка; как, человек приятного или внушительного адреса."
address,-,"Обратите внимание на то, как человек обращается к женщине."
address,Адрес:,умение; умение управления; дектерность; атроитность.
addressee,Адрес,"один, к которому все обращается."
addression,Послание,акт обращения или направления курса.
adduced,Предъявленный,от Adduce
adducing,Выпускаются,от Adduce
adduce,В,"Представлять или предлагать, как аргумент, прохождение или рассмотрение, которое приводит к заявлению или делу; цитировать; смягчить."
adducent,Собрать,"приносит вместе или к определенной точке; — слово, применяемое к тем мышцам тела, которые тянут одну часть к другой."
adducer,Воспитатель,"человек, который доводит."
adducible,Дополнительный,способность быть аддуцируемым.
adduct,Привлекательный,для привлечения к общему центру или средней линии.
adduction,Добавочный,акт аддукции или продвижения вперед.
adduction,-,"действие, посредством которого части тела тянутся к ее оси]; — в отличие от отвлечения."
adductive,Привлекательное,"привод, или привод к или к чему-то."
adductor,Мышечная,"мышца, которая тянет край или часть тела в сторону средней линии тела, или закрывает расширенные части тела; - в отличие от отвлекателя; как, отвлекатель глаза, который обращает глаза в сторону носа."
addulce,Добавить,для сладости; для расслабления.
adeem,"Отмена,","отменить, как наследство, грант и т. д., или удовлетворить его каким-то другим даром."
adelantadillo,Адельантадильо,"испанское красное вино, сделанное из первых рипных виноградников."
adelantado,Губернатор,губернатор провинции; командир.
adelaster,Предварительное,"Временное название растения, которое не испытывало своих цветов ботанически, и, следовательно, не относилось к своему роду."
adeling,То,"так же, как и аделинг."
adelocodonic,adelocodonic,"применяется к сексуальным зооидам гидроидов, которые имеют священную форму и не становятся свободными; — в отличие от фанерокодонных."
adelopod,Невидимое,"животное с ногами, которые не видны."
adelphia,adelphya,"«братство» или сбор племен в пакете; — используется в составе, как в классовых названиях, Монадельфии, Диадельфии и т.д."
adelphous,adelphous,"имея коалесентные или кластерированные филаменты; — говорится о станях; как, адельфоус станях; обычно в составе; как, монодельфоус."
adempt,"Оскорблённый,",отнимает.
ademption,Изъятие,"отказ или снятие гранта, наследия или подобного."
aden-,Альт,Alt. of Adeno-
adeno-,adeno-,"комбинирующие формы греческого слова для железы; — используются в словах, относящихся к структуре, болезням и т. д., желез."
adenalgia,Аденальгия,Alt. of Adenalgy
adenalgy,Боль,боль в железе.
adeniform,Адениформа,образуется как железа; аденоиды.
adenitis,adenitis,воспаление железы.
adenographic,Аденографические,относится к аденографии.
adenography,adenography,"эта часть анатомии, которая описывает железы."
adenoid,Аденоидный,Alt. of Adenoidal
adenoidal,аденоидальный,слизистый; слизистый.
adenological,Аденологический,относится к аденологии.
adenology,Аденология,"часть физиологии, которая лечит железы."
adenophorous,adenoforus,производство желез.
adenophyllous,аденофиллярные,имея железы на листьях.
adenose,"аденоза,",как железа; наполненные железами; жлезистые; аденоз.
adenotomic,adenotomic,относится к аденотомии.
adenotomy,adenotomy,рассечение или инцизия в железу или железы.
adenous,То,"так же, как и аденоз."
adeps,Приветствую,Животное жир; ландшафт.
adept,Искусный,"человек, полностью квалифицированный или хорошо переданный в чем-то; человек, квалифицированный; а также, пригодный в философии."
adept,Хорошо,хорошо квалифицированный; полностью версифицированный; тщательно квалифицированный.
adeption,Приобретение;,достижение; достижение.
adeptist,Искусный,квалифицированный алхимик.
adeptness,-,Качество быть пригодным; умение.
adequacy,-,"состояние или качество адекватности, пропорциональности или адекватности; адекватность для конкретной цели; адекватность поставок к расходам."
adequate,-,"равное некоторым требованиям; пропорциональное или корреспондентное; полностью достаточное; как, полномочия, адекватные великой работе; адекватное определение."
adequate,-,для равенства; для адекватного.
adequate,-,для равенства.
adequately,-,в адекватном виде.
adequateness,-,Качество адекватности; адекватность; адекватность.
adequation,adeququeration,акт уравновешивания; акт или результат адекватности; эквивалент.
adesmy,delegmy,"разделение или дефектная последовательность органа, который обычно является целым."
adessenarian,-,"тот, кто удерживал настоящее присутствие тела Христа в Евхаристии, но не посредством транссубстанции."
adfected,См.,"Смотреть Убийство, 5."
adfiliated,См.,Смотреть «аффилированный».
adfiliation,См.,Смотреть «Аффилиация».
adfluxion,См.,Смотреть «афлукции».
adhamant,"Клингон,","Клингинг, как и хок."
adhered,Присоединяемый,от Adhere
adhering,Присоединяюсь,от Adhere
adhere,"Присоединяйся,","придерживаться быстро или отмываться, как глютиновое вещество делает; присоединиться или соединиться; как, воска к пальцу; легкие иногда присоединяются к плеуре."
adhere,Присоединяйся,"держаться, быть привязанным или посвященным; оставаться фиксированным, либо личной ассоциацией, либо соответствием веры, принципа или мнения; как, люди присоединяются к партии, причине, лидеру, церкви."
adhere,Соблюдать,быть последовательным или последовательным; быть согласованным; согласиться.
adherence,-,Качество или состояние присоединения.
adherence,-,"состояние фиксированности в присоединении; верность; постоянное присоединение; присоединение; как, присоединение к партии или мнениям."
adherency,Присоединяемость:,состояние или качество присоединения; присоединение.
adherency,Присоединяйтесь,"то, что присоединяется."
adherent,"Прилипание,",Присоединение; Присоединение; Присоединение.
adherent,Содержащийся,Присоединяется как атрибут или обстоятельство.
adherent,Врожденно,"врожденно соединяется с органом другого рода, например, каликс с яичкой, или штаммы с петалами."
adherent,::,"тот, кто присоединяется; тот, кто присоединяется; тот, кто следит за лидером, партией или профессией; последователь или партизан; верующий в определенную веру или церковь."
adherent,Присоединяющийся,"то, что присоединяется; дополнение."
adherently,По,в присоединенном виде.
adherer,Соблюдаю,кто присоединяется; кто присоединяется.
adhesion,Сцепление:,"действие присоединения; состояние присоединения; интимный союз; как, присоединение глие, или частей, объединенных ростом, цементом или аналогичным."
adhesion,Присоединяемость:,"Присоединение; постоянное или твердое присоединение; верность; как, присоединение к ошибке, к политике."
adhesion,Соглашение,Соглашение к присоединению; конкуренция; асент.
adhesion,Сцепление,"Молекулярная привлекательность, осуществляемая между телами в контакте."
adhesion,Сцепление,"соединение поверхности, как правило, отделяется формированием новых тканей, вытекающих из воспалительного процесса."
adhesion,Сцепление,"союз частей, которые отделены в других растениях или в более молодых государствах того же растения."
adhesive,Клеючие,"Sticky; tenacious, как глютиновые вещества."
adhesive,Клеящий,присоединение или склонность к присоединению; присоединение.
adhesively,Клейкое,в прикрепленном виде.
adhesiveness,-,качество присоединения или присоединения; стойкость; упорность союза.
adhesiveness,-,"Присоединение к формированию и поддержанию привязанностей к лицам, а также к продвижению социального взаимодействия."
adhibit,"Признать,","признать, как личность или вещь; принять."
adhibit,-,для использования или применения; для администрирования.
adhibit,"Прикрепить,",для прикрепления; для прикрепления.
adhibition,Adhibition,акт адбиции; применение; использование.
ad hominem,&quot;,"фраза, применяемая к призыву или аргументу, адресованному к принципам, интересам или страстям человека."
adhort,"Напоминать,",поощрять; советовать.
adhortation,"Советы,",Совет; Помощь.
adhortatory,Наказание:,содержит совет или предупреждение; адсортирующий; консультативный.
adiabatic,адиабатическая,не отдавать или получать тепло.
adiactinic,Не,не передавая актинические лучи.
adiantum,Род,"жанр грызунов, листья которых проливают воду; кожура. также, черная кожура, вид кожура."
adiaphorism,адиафоризм,религиозная равнодушность.
adiaphorist,Один,"один из немецких протестантов, который, вместе с Меланхтоном, проводил некоторые мнения и церемонии, чтобы быть равнодушными или несущественными, которые Лутер осуждал как грешные или эретические."
adiaphoristic,адиафористские,"относится к вопросам, равнодушным в вере и практике."
adiaphorite,Адиафорита,"так же, как и «адиафорит»."
adiaphorous,adiophoris,равномерный или нейтральный.
adiaphorous,"адиафорные,","Неспособность делать вреда или добро, как и некоторые лекарства."
adiaphory,Неразличие.,равнодушность.
adiathermic,адиатермический,не первичный к тепла.
adieu,"Прощай,",Добро-бы; прощание; выражение добрых пожеланий при расходе.
adieus,Приветствую,«Сбогом»
adieu,"Прощай,",Прощание; призвание к заботе о Боге во время развода.
adight,Взгляд,от Adight
adight,В,"для установки порядка; для оформления; для привлечения; для покрытия, для одежды."
ad infinitum,Неограниченно.,Без ограничений; бесконечно.
ad interim,::,Между тем; временный.
adipescent,*Ожидает*,становясь жирным.
adipic,адипиковый,"относится к, или полученные из, жирных или масляных веществ; — применяется к определенным кислотам, полученным из жиров действием азотной кислоты."
adipocerate,adipocerate,Конвертировать в adipocere.
adipoceration,::,акт или процесс перехода в адипокере.
adipocere,"Мягкое,","мягкая, нечистая или восковая субстанция, светло-коричневого цвета, в которую жировой и мышечной ткани мертвых тел иногда конвертируются, длительным погружением в воду или похоронами в влажных местах."
adipoceriform,адипоцериформа,"имея форму или внешний вид адипокера; как, адипокериформный опухоль."
adipocerous,Как,как адипоцероза.
adipose,жира,от или принадлежит к животному жиру; жир.
adiposeness,Диапозитивность,Alt. of Adiposity
adiposity,-,состояние жира; ожирение.
adipous,аппетитный:,жирный; жирный.
adipsous,Аппоус,"жажда, как определенные плоды."
adipsy,Недостаток,отсутствие жажды.
adit,Вход,"Вход или проход. Особенно: Определите горизонтальное открытие, через которое входит мина, или через которое переносят воду и уры; — также называется дрифт и туннель."
adit,Прием;,прием; подход; доступ.
adjacence,Прилегающее,Alt. of Adjacency
adjacency,Неприкосновенное,"состояние соприкосновения или соприкосновения; соприкосновение; как, соприкосновение земель или зданий."
adjacency,Неотъемлемое,"то, что является близким."
adjacent,Прилегающая,"лежит близко, близко или соприкосновенно; сосед; граничит; как, поле, близкое к автомагистрали."
adjacent,Рядом,"то, что является близким."
adjacently,Ближайший,Так что быть близким.
adject,Добавление,Добавить или присоединиться; Присоединиться.
adjection,Прилегающее,"акт или способ добавления; также, вещь добавлена."
adjectional,Прилагаемый,"относится к аджекции; то есть, или может быть, приложен."
adjectitious,Привлекательно,Добавлено; Добавлено.
adjectival,Прилагательное,"от или относящегося к тому, что относится к аджективному; характера аджективного; аджективного."
adjectivally,В,"как, или в виде, адектива; адективно."
adjective,Прилагательное,"добавляется к существенному в качестве атрибута; характера вспомогательного; как, в качестве вспомогательного слова или фразы."
adjective,Прилагательное,не стоящий сам по себе; зависимый.
adjective,Прилагательное,в отношении процедуры.
adjective,Прилагательное,"Слово, используемое с ноуном, или существенным, для выражения качества названия вещи, или чего-то, что к ней приписывается, или для ограничения или определения ее, или для определения или описания вещи, как отличительной от чего-то другого."
adjective,Прилагательное,зависимый; аксессуар.
adjectived,Прилагаемый,от Adjective
adjectiving,прилагательное,от Adjective
adjective,Прилагательное,"Для того, чтобы сделать адъектив; для того, чтобы сформировать или изменить в адъектив."
adjectively,В,"в виде адъектива; как, слово используется адъективно."
adjoined,Примыкающие,от Adjoin
adjoining,Примыкающие,от Adjoin
adjoin,Присоединиться,присоединиться или присоединиться к; лежать соприкосноветельно; быть в контакте с; присоединиться; присоединиться.
adjoin,Присоединяющиеся,"лгать или быть следующим, или в контакте; быть соприкосновением; как, присоединиться к домам."
adjoin,Присоединяюсь,присоединиться к самому себе.
adjoinant,Присоединяющийся,Контигуальный.
adjoining,Присоединяющиеся,"присоединиться; соседний; соседний; как, соседний зал."
adjoint,Приближающийся,Помощник; Помощник.
adjourned,закрыто,от Adjourn
adjourning,Закрывающиеся,от Аджурнинг
adjourn,Закрыть,"откладывать или откладывать на другой день, или на неопределенный срок; откладывать; закрывать или приостанавливать на этот день; — обычно говорится о встрече, или действии, собравшегося органа; как, откладывать встречу; откладывать дебаты."
adjourn,-,"приостановить бизнес на некоторое время, как от одного дня к другому, или на более длительный срок, или неограниченно; обычно, приостановить общественный бизнес, как законодательных органов и судов, или других собравшихся органов; как, конгресс приостановился в четыре часа; суд приостановился без дня."
adjournal,Переезд,Аджурнал; отсрочка.
adjournment,Перерыв,"акт аджурнмента; отказ до другого назначенного дня или времени, или без дня."
adjournment,Время,"Время или интервал, в течение которого государственный орган откладывает свои заседания или откладывает бизнес."
adjudged,Судья,от
adjudging,Вынесение,от Подачи
adjudge,Судья,"в судебном порядке в случае спорного вопроса; как, награда была присуждена победителю."
adjudge,Судья,"определить в осуществлении судебной власти; решить или назначить судебным путем; договориться; как, дело было назначено в ноябре."
adjudge,Судья,к приговору; к осуждению.
adjudge,Судья,рассматривать или держать; судить; считать.
adjudger,"Судья,",кто поставляет.
adjudgment,Решение,акт посылки; судебное решение; посылки.
adjudicated,Вынесение,от Покупаемого
adjudicating,Вынесение,от Покупателя
adjudicate,Вынесение,"для судебного разбирательства; для попытки и определения, как суда; для урегулирования судебным декретом."
adjudicate,Принимать,"прийти к судебному решению; как, суд, назначенный по делу."
adjudication,Решение,акт посылки; акт или процесс попытки и определения судом.
adjudication,-,умышленное определение судебной властью; судебное решение или приговор.
adjudication,Решение,"решение о том, является ли должник банкротством."
adjudication,"Процесс,","процесс, посредством которого земля привязана к безопасности или в удовлетворении долга."
adjudicative,Судопроизводство.,Покупки.
adjudicator,Судоводитель,кто поставляет.
adjudicature,Судопроизводство.,«договор».
adjugate,Прижмитесь,к йогу.
adjument,"Помощь,","Помощь; поддержка; также, помощник."
adjuvant,"Вещество,","вещество, добавленное к иммуногенному агенту для повышения производства антител."
adjuvant,"Вещество,","вещество, добавленное к формулированию препарата, которое улучшает действие действующего ингредиента."
adjunct,"Присоединяйтесь,",встреченный; присутствующий; последовательный.
adjunct,что-то,"что-то присоединилось или добавилось к другому, но не в сущности часть его."
adjunct,-,человек присоединился к другому в какой-то обязанности или службе; коллега; ассоциированный.
adjunct,adcux(,"слово или слова, добавленные к качеству или усиливающие силу других слов; как, История Американской Революции, где слова в итальянском языке являются адиктами или адиктами «Истории»."
adjunct,-,"качество или свойство тела или ума, будь то естественное или приобретенное; как, цвет, в теле, суждение в сознании."
adjunct,adcublic,"ключ или масштаб тесно связаны с другим как главный; ключ относительный или ассистент. [R] Смотреть ключи Ассистент, в разделе Ассистент, а."
adjunction,Присвоение:,"акт присоединения; вещь, присоединенная или добавленная."
adjunctive,Присоединение;,присоединиться; иметь качество присоединения; формировать помощника.
adjunctive,Аппапорный:,"тот, кто, или тот, который присоединяется."
adjunctively,Принудительным,в адекватном виде.
adjunctly,В,путем добавления или дополнения; в связи с.
adjuration,Присвоение,акт адюрации; торжественное обвинение в заклятии или под наказанием проклятия; серьезный апелляционный акт.
adjuration,Форма,Форма заклятия или апелляции.
adjuratory,Прихожанин,содержание адюрации.
adjured,Закрепленное,от «повреждения»
adjuring,Увечье,от Аджура
adjure,"Обвинять,","наказывать, связывать или приказать, торжественно, как будто под присягой или под казнью проклятия; обращаться к нему наиболее торжественно или впечатляющим образом; серьезно предаться."
adjurer,Прилегающе:,кто присягает.
adjusted,скорректированная,от
adjusting,корректировочная,от
adjust,Регулируйте,"для того, чтобы сделать точную; для того, чтобы соответствовать; для того, чтобы сделать корреспондент или соответствовать; для того, чтобы ввести в правильные отношения; как, для того, чтобы приспособить одежду к телу, или вещи к стандарту."
adjust,Регулировать,для размещения порядка; для регулирования или сокращения в систему.
adjust,c),"для урегулирования или достижения удовлетворительного состояния, чтобы стороны согласились в результате; как, для корректировки счетов; различия корректируются."
adjust,Регулировать,"чтобы привести к истинному относительному положению, как части инструмента; для регулирования для использования; как, для регулирования телескопа или микроскопа."
adjustable,Регулируемая,способность быть адаптированным.
adjustage,Регулировка.,Приспособление.
adjuster,Регулирующий,"тот, кто, или тот, который корректирует."
adjustive,Регулировочное,склонность к корректировке.
adjustment,Регулирование,"акт приспособления, или состояние приспособления; акт введения в соответствующие отношения; регулирование."
adjustment,Урегулирование,"урегулирование претензий; справедливое урегулирование противоречивых претензий, как в сет-офф, взносах, освобождении, суброгации и маршалировании."
adjustment,-,"действие приведения всех частей инструмента, как микроскопа или телескопа, в их соответствующую относительную позицию для использования; состояние приспособления таким образом; как, чтобы получить хорошую приспособление; быть в или вне приспособления."
